Designator,Mid X,Mid Y,Rotation,Layer
C1,76.25,-72.91,0.0,bottom
C10,67.186,-26.41,90.0,bottom
C11,94.843,-26.41,90.0,bottom
C12,122.5,-26.41,90.0,bottom
C13,150.157,-26.41,90.0,bottom
C14,177.814,-26.41,90.0,bottom
C15,205.471,-26.41,90.0,bottom
C16,233.128,-26.41,90.0,bottom
C2,49.75,-72.91,0.0,bottom
C3,69.6102,-72.91,0.0,bottom
C4,43.1102,-72.91,0.0,bottom
C5,62.9705,-72.91,0.0,bottom
C6,36.4705,-72.91,0.0,bottom
C7,56.3307,-72.91,0.0,bottom
C8,29.8307,-72.91,0.0,bottom
C9,39.529,-26.41,90.0,bottom
D1,21.73,-64.11,180.0,top
D10,66.186,-32.9843,270.0,bottom
D11,69.736,-32.9843,270.0,bottom
D12,49.387,-54.06,180.0,top
D13,77.044,-64.11,180.0,top
D14,77.044,-60.76,180.0,top
D15,77.044,-57.41,180.0,top
D16,97.314,-32.9843,270.0,bottom
D17,93.843,-32.9843,270.0,bottom
D18,77.044,-54.06,180.0,top
D19,104.701,-64.11,180.0,top
D2,21.73,-60.76,180.0,top
D20,104.701,-60.76,180.0,top
D21,104.701,-57.41,180.0,top
D22,121.5,-32.9843,270.0,bottom
D23,125.05,-32.9843,270.0,bottom
D24,104.701,-54.06,180.0,top
D25,132.358,-64.11,180.0,top
D26,132.358,-60.76,180.0,top
D27,132.358,-57.41,180.0,top
D28,149.157,-32.9843,270.0,bottom
D29,152.707,-32.9843,270.0,bottom
D3,21.73,-57.41,180.0,top
D30,132.358,-54.06,180.0,top
D31,160.015,-64.11,180.0,top
D32,160.015,-60.76,180.0,top
D33,160.015,-57.41,180.0,top
D34,176.814,-32.9843,270.0,bottom
D35,180.364,-32.9843,270.0,bottom
D36,160.015,-54.06,180.0,top
D37,187.672,-64.11,180.0,top
D38,187.672,-60.76,180.0,top
D39,187.672,-57.41,180.0,top
D4,38.529,-32.9843,270.0,bottom
D40,204.471,-32.9843,270.0,bottom
D41,208.021,-32.9843,270.0,bottom
D42,187.672,-54.06,180.0,top
D43,215.329,-64.11,180.0,top
D44,215.329,-60.76,180.0,top
D45,215.329,-57.41,180.0,top
D46,232.128,-32.9843,270.0,bottom
D47,235.678,-32.9843,270.0,bottom
D48,215.329,-54.06,180.0,top
D49,21.73,-110.05,180.0,top
D5,42.079,-32.9843,270.0,bottom
D50,21.73,-106.7,180.0,top
D51,21.73,-103.35,180.0,top
D52,21.73,-100.0,180.0,top
D53,46.98,-110.05,180.0,top
D54,46.98,-106.7,180.0,top
D55,46.98,-103.35,180.0,top
D56,46.98,-100.0,180.0,top
D57,72.23,-110.05,180.0,top
D58,72.23,-106.7,180.0,top
D59,72.23,-103.35,180.0,top
D6,21.73,-54.06,180.0,top
D60,72.23,-100.0,180.0,top
D61,97.48,-110.05,180.0,top
D62,97.48,-106.7,180.0,top
D63,97.48,-103.35,180.0,top
D64,97.48,-100.0,180.0,top
D65,122.73,-110.05,180.0,top
D66,122.73,-106.7,180.0,top
D67,122.73,-103.35,180.0,top
D68,122.73,-100.0,180.0,top
D69,147.98,-110.05,180.0,top
D7,49.387,-64.11,180.0,top
D70,147.98,-106.7,180.0,top
D71,147.98,-103.35,180.0,top
D72,147.98,-100.0,180.0,top
D73,173.23,-110.05,180.0,top
D74,173.23,-106.7,180.0,top
D75,173.23,-103.35,180.0,top
D76,173.23,-100.0,180.0,top
D77,198.48,-110.05,180.0,top
D78,198.48,-106.7,180.0,top
D79,198.48,-103.35,180.0,top
D8,49.387,-60.76,180.0,top
D80,198.48,-100.0,180.0,top
D9,49.387,-57.41,180.0,top
J15,37.86,-58.93,270.0,top
J16,37.86,-62.91,270.0,top
J17,37.875,-44.735,180.0,top
J18,65.517,-58.93,270.0,top
J19,65.517,-62.91,270.0,top
J20,65.532,-44.735,180.0,top
J21,93.174,-58.93,270.0,top
J22,93.174,-62.91,270.0,top
J23,93.189,-44.735,180.0,top
J24,120.831,-58.93,270.0,top
J25,120.831,-62.91,270.0,top
J26,120.846,-44.735,180.0,bottom
J27,148.488,-58.93,270.0,top
J28,148.488,-62.91,270.0,top
J29,148.503,-44.735,180.0,top
J30,176.145,-58.93,270.0,top
J31,176.145,-62.91,270.0,top
J32,176.16,-44.735,180.0,top
J33,203.802,-58.93,270.0,top
J34,203.802,-62.91,270.0,top
J35,203.817,-44.735,180.0,top
J36,231.459,-58.93,270.0,top
J37,231.459,-62.91,270.0,top
J38,231.474,-44.735,180.0,top
J39,20.5,-94.265,180.0,bottom
J40,34.985,-120.18,270.0,top
J41,34.985,-116.48,270.0,top
J42,35.0,-102.775,0.0,top
J43,45.75,-94.265,180.0,bottom
J44,60.235,-120.18,270.0,top
J45,60.235,-116.48,270.0,top
J46,60.25,-102.775,0.0,top
J47,71.0,-94.265,180.0,bottom
J48,85.485,-120.18,270.0,top
J49,85.485,-116.48,270.0,top
J50,85.5,-102.775,0.0,top
J51,96.25,-94.265,180.0,bottom
J52,110.735,-120.18,270.0,top
J53,110.735,-116.48,270.0,top
J54,110.75,-102.775,0.0,top
J55,121.5,-94.265,180.0,bottom
J56,135.985,-120.18,270.0,top
J57,135.985,-116.48,270.0,top
J58,136.0,-102.775,0.0,top
J59,146.75,-94.265,180.0,bottom
J60,161.235,-120.18,270.0,top
J61,161.235,-116.48,270.0,top
J62,161.25,-102.775,0.0,top
J63,172.0,-94.265,180.0,bottom
J64,186.485,-120.18,270.0,top
J65,186.485,-116.48,270.0,top
J66,186.5,-102.775,0.0,top
J67,197.25,-94.265,180.0,bottom
J68,211.735,-120.18,270.0,top
J69,211.735,-116.48,270.0,top
J70,211.75,-102.775,0.0,top
R1,27.484,-54.91,180.0,bottom
R10,47.686,-47.9,270.0,bottom
R100,103.75,-100.86,0.0,bottom
R101,103.75,-104.91,0.0,bottom
R102,103.75,-108.96,0.0,bottom
R103,98.29,-113.21,0.0,bottom
R104,104.29,-112.66,0.0,bottom
R105,104.29,-116.71,0.0,bottom
R106,104.29,-120.76,0.0,bottom
R107,98.29,-116.66,0.0,bottom
R108,98.29,-120.71,0.0,bottom
R109,129.0,-92.76,0.0,bottom
R11,55.146,-60.91,180.0,bottom
R110,129.0,-96.81,0.0,bottom
R111,129.0,-100.86,0.0,bottom
R112,129.0,-104.91,0.0,bottom
R113,129.0,-108.96,0.0,bottom
R114,123.54,-113.21,0.0,bottom
R115,129.54,-112.66,0.0,bottom
R116,129.54,-116.71,0.0,bottom
R117,129.54,-120.76,0.0,bottom
R118,123.54,-116.66,0.0,bottom
R119,123.54,-120.71,0.0,bottom
R12,47.686,-42.4,270.0,bottom
R120,154.25,-92.76,0.0,bottom
R121,154.25,-96.81,0.0,bottom
R122,154.25,-100.86,0.0,bottom
R123,154.25,-104.91,0.0,bottom
R124,154.25,-108.96,0.0,bottom
R125,148.79,-113.21,0.0,bottom
R126,154.79,-112.66,0.0,bottom
R127,154.79,-116.71,0.0,bottom
R128,154.79,-120.76,0.0,bottom
R129,148.79,-116.66,0.0,bottom
R13,55.146,-57.91,180.0,bottom
R130,148.79,-120.71,0.0,bottom
R131,179.5,-92.76,0.0,bottom
R132,179.5,-96.81,0.0,bottom
R133,179.5,-100.86,0.0,bottom
R134,179.5,-104.91,0.0,bottom
R135,179.5,-108.96,0.0,bottom
R136,174.04,-113.21,0.0,bottom
R137,180.04,-112.66,0.0,bottom
R138,180.04,-116.71,0.0,bottom
R139,180.04,-120.76,0.0,bottom
R14,47.657,-36.9,270.0,bottom
R140,174.04,-116.66,0.0,bottom
R141,174.04,-120.71,0.0,bottom
R142,204.75,-92.76,0.0,bottom
R143,204.75,-96.81,0.0,bottom
R144,204.75,-100.86,0.0,bottom
R145,204.75,-104.91,0.0,bottom
R146,204.75,-108.96,0.0,bottom
R147,199.29,-113.21,0.0,bottom
R148,205.29,-112.66,0.0,bottom
R149,205.29,-116.71,0.0,bottom
R15,55.141,-54.91,180.0,bottom
R150,205.29,-120.76,0.0,bottom
R151,199.29,-116.66,0.0,bottom
R152,199.29,-120.71,0.0,bottom
R16,47.657,-31.365,270.0,bottom
R17,82.798,-63.91,180.0,bottom
R18,75.343,-47.9,270.0,bottom
R19,82.803,-60.91,180.0,bottom
R2,27.489,-57.91,180.0,bottom
R20,75.343,-42.4,270.0,bottom
R21,82.803,-57.91,180.0,bottom
R22,75.314,-36.9,270.0,bottom
R23,82.798,-54.91,180.0,bottom
R24,75.314,-31.365,270.0,bottom
R25,110.455,-63.91,180.0,bottom
R26,103.0,-47.9,270.0,bottom
R27,110.46,-60.91,180.0,bottom
R28,103.0,-42.4,270.0,bottom
R29,110.46,-57.91,180.0,bottom
R3,27.489,-60.91,180.0,bottom
R30,102.971,-36.9,270.0,bottom
R31,110.455,-54.91,180.0,bottom
R32,102.971,-31.365,270.0,bottom
R33,138.112,-63.91,180.0,bottom
R34,130.657,-47.87,270.0,bottom
R35,138.117,-60.91,180.0,bottom
R36,130.657,-42.4,270.0,bottom
R37,138.117,-57.91,180.0,bottom
R38,130.628,-36.9,270.0,bottom
R39,138.112,-54.91,180.0,bottom
R4,20.029,-47.9,270.0,bottom
R40,130.628,-31.365,270.0,bottom
R41,165.769,-63.91,180.0,bottom
R42,158.314,-47.87,270.0,bottom
R43,165.774,-60.91,180.0,bottom
R44,158.314,-42.4,270.0,bottom
R45,165.774,-57.91,180.0,bottom
R46,158.285,-36.9,270.0,bottom
R47,165.769,-54.91,180.0,bottom
R48,158.285,-31.365,270.0,bottom
R49,193.426,-63.91,180.0,bottom
R5,20.029,-42.4,270.0,bottom
R50,185.971,-47.87,270.0,bottom
R51,193.431,-60.91,180.0,bottom
R52,185.971,-42.4,270.0,bottom
R53,193.431,-57.91,180.0,bottom
R54,185.942,-36.9,270.0,bottom
R55,193.426,-54.91,180.0,bottom
R56,185.942,-31.365,270.0,bottom
R57,221.083,-63.91,180.0,bottom
R58,213.628,-47.87,270.0,bottom
R59,221.088,-60.91,180.0,bottom
R6,27.484,-63.91,180.0,bottom
R60,213.628,-42.4,270.0,bottom
R61,221.088,-57.91,180.0,bottom
R62,213.599,-36.9,270.0,bottom
R63,221.083,-54.91,180.0,bottom
R64,213.599,-31.365,270.0,bottom
R65,28.0,-92.76,0.0,bottom
R66,28.0,-96.56,0.0,bottom
R67,28.0,-100.61,0.0,bottom
R68,28.0,-104.66,0.0,bottom
R69,28.0,-108.71,0.0,bottom
R7,20.0,-36.9,270.0,bottom
R70,22.54,-113.21,0.0,bottom
R71,22.54,-116.66,0.0,bottom
R72,22.54,-120.71,0.0,bottom
R73,28.54,-112.66,0.0,bottom
R74,28.54,-116.71,0.0,bottom
R75,28.54,-120.76,0.0,bottom
R76,53.25,-92.76,0.0,bottom
R77,53.25,-96.81,0.0,bottom
R78,53.25,-100.86,0.0,bottom
R79,53.25,-104.91,0.0,bottom
R8,20.0,-31.365,270.0,bottom
R80,53.25,-108.96,0.0,bottom
R81,47.79,-113.21,0.0,bottom
R82,47.79,-116.66,0.0,bottom
R83,47.79,-120.71,0.0,bottom
R84,53.79,-112.66,0.0,bottom
R85,53.79,-116.71,0.0,bottom
R86,53.79,-120.76,0.0,bottom
R87,78.5,-92.76,0.0,bottom
R88,78.5,-96.81,0.0,bottom
R89,78.5,-100.86,0.0,bottom
R9,55.141,-63.91,180.0,bottom
R90,78.5,-104.91,0.0,bottom
R91,78.5,-108.96,0.0,bottom
R92,73.04,-113.21,0.0,bottom
R93,79.04,-112.66,0.0,bottom
R94,79.04,-116.71,0.0,bottom
R95,79.04,-120.76,0.0,bottom
R96,73.04,-116.66,0.0,bottom
R97,73.04,-120.71,0.0,bottom
R98,103.75,-92.76,0.0,bottom
R99,103.75,-96.81,0.0,bottom
RV1,27.11,-26.82,0.0,top
RV2,54.767,-26.82,0.0,top
RV3,82.424,-26.82,0.0,top
RV4,110.081,-26.82,0.0,top
RV5,137.738,-26.82,0.0,top
RV6,165.395,-26.82,0.0,top
RV7,193.052,-26.82,0.0,top
RV8,220.709,-26.82,0.0,top
U1,124.0,-73.41,0.0,bottom
U10,221.182,-43.1,270.0,bottom
U12,30.79,-84.885,0.0,bottom
U14,56.04,-84.885,0.0,bottom
U16,81.29,-84.885,0.0,bottom
U18,106.54,-84.885,0.0,bottom
U20,131.79,-84.885,0.0,bottom
U22,157.04,-84.885,0.0,bottom
U24,182.29,-84.885,0.0,bottom
U26,207.54,-84.885,0.0,bottom
U3,27.583,-43.1,270.0,bottom
U4,55.24,-43.1,270.0,bottom
U5,82.897,-43.1,270.0,bottom
U6,110.554,-43.1,270.0,bottom
U7,138.211,-43.1,270.0,bottom
U8,165.868,-43.1,270.0,bottom
U9,193.525,-43.1,270.0,bottom
